Game,Touch Control
New Super Mario Bros,No
NIntendogs,Yes
Mario Kart DS,No
Brain Age: Train Your Brain in Minutes a Day,Yes
Pokemon Diamond/Pearl,No
Pokemon Black/White,No
Brain Age 2: More Training in Minutes a Day,Yes
Pokemon Heart Gold/Soul Silver,No
Animal Crossing: Wild World,No
Super Mario 64 DS,Yes
Mario Party DS,No
Pokemon Black/White 2,No
Pokemon Platinum,No
Big Brain Academy,Yes
Cooking Mama,Yes
Dragon Quest IX: Sentinels of the Starry Skies,No
Mario & Sonic at the Olympic Games,Yes
Pokemon Mystery Dungeon: Explorers of Time/Darkness,No
Lego Star Wars: The Complete Saga,No
The Legend of Zelda: Phantom Hourglass,Yes
Kirby Mass Attack,Yes
Final Fantasy IV,No
Sonic Rush Adventure,No
Lego Indiana Jones 2: The Adventure Continues,No
Mystery Case Files: MillionHeir,Yes
Inazuma Eleven 2: Kyoui no Shinryokusha - Fire / Blizzard,Yes
High School Musical 2: Work This Out!,Yes
Oshare Majo Love and Berry: DS Collection,No
Plants vs. Zombies,Yes
Lego Star Wars III: The Clone Wars,No
Chrono Trigger,No
Super Monkey Ball: Touch & Roll,Yes
Petz Dogz 2,Yes
Tamagotchi Connection: Corner Shop 2,Yes
Imagine: Babysitters,Yes
Metroid Prime Hunters,Yes
Lego Star Wars II: The Original Trilogy,No
Imagine: Fashion Designer New York,Yes
MySims Agents,No
Spore Creatures,Yes
Ganbaru Watashi no Kakei Diary,No
Petz: Dogz Pack,Yes
MySims Racing,No
Wipeout: The Game,No
The Golden Compass,No
Ni no Kuni: Dominion of the Dark,Yes
Littlest Pet Shop: Garden,No
SimCity DS,Yes
Littlest Pet Shop: Jungle,No
Pokémon Trozei!,Yes
Spelling Challenges and more!,Yes
Call of Duty: Black Ops,Yes
WarioWare D.I.Y.,Yes
Asphalt: Urban GT,No
FIFA Soccer 10,No
Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,Yes
Final Fantasy: The 4 Heroes of Light,No
My Secret World by Imagine,Yes
Harvest Moon: The Tale of Two Towns,No
Mega Man Star Force 2: Zerker x Ninja / Saurian,No
