Console,Home Console,Handheld,Hybrid,Backwards Compatiable,Adjusted Launch Price,Variants,# First Year Nintendo Games,Quarter Index,Sales (Millions),Holiday
Switch 2,0,0,1,1,450,1,10,1,5.82,0
Switch 2,0,0,1,1,450,1,10,2,4.54,0
Switch 2,0,0,1,1,450,1,10,3,7.01,1
Switch 2,0,0,1,1,450,1,10,4,2.49,0
Switch 2,0,0,1,1,450,1,10,5,3.82,0
Switch 2,0,0,1,1,450,1,10,6,0,0
Switch 2,0,0,1,1,450,1,10,7,0,1
Switch 2,0,0,1,1,450,1,10,8,0,0
Switch 2,0,0,1,1,450,1,10,9,0,0
Switch 2,0,0,1,1,450,1,10,10,0,0
Switch 2,0,0,1,1,450,1,10,11,0,1
Switch 2,0,0,1,1,450,1,10,12,0,0
Switch,0,0,1,0,410,3,10,1,2.74,0
Switch,0,0,1,0,410,3,10,2,1.96,0
Switch,0,0,1,0,410,3,10,3,2.93,0
Switch,0,0,1,0,410,3,10,4,4.5,1
Switch,0,0,1,0,410,3,10,5,5.66,0
Switch,0,0,1,0,410,3,10,6,1.88,0
Switch,0,0,1,0,410,3,10,7,3.19,0
Switch,0,0,1,0,410,3,10,8,9.41,1
Switch,0,0,1,0,410,3,10,9,2.47,0
Switch,0,0,1,0,410,3,10,10,2.13,0
Switch,0,0,1,0,410,3,10,11,4.8,0
Switch,0,0,1,0,410,3,10,12,10.81,1
Switch,0,0,1,0,410,3,10,13,3.29,0
Switch,0,0,1,0,410,3,10,14,5.67,0
Switch,0,0,1,0,410,3,10,15,6.86,0
Switch,0,0,1,0,410,3,10,16,11.57,1
Switch,0,0,1,0,410,3,10,17,4.72,0
Switch,0,0,1,0,410,3,10,18,4.45,0
Switch,0,0,1,0,410,3,10,19,3.83,0
Switch,0,0,1,0,410,3,10,20,10.67,1
Switch,0,0,1,0,410,3,10,21,4.11,0
Switch,0,0,1,0,410,3,10,22,3.43,0
Switch,0,0,1,0,410,3,10,23,3.25,0
Switch,0,0,1,0,410,3,10,24,8.22,1
Switch,0,0,1,0,410,3,10,25,3.07,0
Switch,0,0,1,0,410,3,10,26,3.91,0
Switch,0,0,1,0,410,3,10,27,2.93,0
Switch,0,0,1,0,410,3,10,28,6.9,1
Switch,0,0,1,0,410,3,10,29,1.96,0
Switch,0,0,1,0,410,3,10,30,2.1,0
Switch,0,0,1,0,410,3,10,31,2.63,0
Switch,0,0,1,0,410,3,10,32,4.82,1
Switch,0,0,1,0,410,3,10,33,1.25,0
Switch,0,0,1,0,410,3,10,34,0.98,0
Switch,0,0,1,0,410,3,10,35,0.91,0
Switch,0,0,1,0,410,3,10,36,1.36,1
Switch,0,0,1,0,410,3,10,37,0.56,0
Switch,0,0,1,0,410,3,10,38,0.66,0
Switch,0,0,1,0,410,3,10,39,0,0
Wii U,1,0,0,1,435,1,12,1,3.06,1
Wii U,1,0,0,1,435,1,12,2,0.39,0
Wii U,1,0,0,1,435,1,12,3,0.16,0
Wii U,1,0,0,1,435,1,12,4,0.3,0
Wii U,1,0,0,1,435,1,12,5,1.95,1
Wii U,1,0,0,1,435,1,12,6,0.31,0
Wii U,1,0,0,1,435,1,12,7,0.51,0
Wii U,1,0,0,1,435,1,12,8,0.51,0
Wii U,1,0,0,1,435,1,12,9,2.01,1
Wii U,1,0,0,1,435,1,12,10,0.35,0
Wii U,1,0,0,1,435,1,12,11,0.47,0
Wii U,1,0,0,1,435,1,12,12,0.72,0
Wii U,1,0,0,1,435,1,12,13,1.87,1
Wii U,1,0,0,1,435,1,12,14,0.2,0
Wii U,1,0,0,1,435,1,12,15,0.22,0
Wii U,1,0,0,1,435,1,12,16,0.33,0
Wii U,1,0,0,1,435,1,12,17,0.2,1
Wii U,1,0,0,1,435,1,12,18,0,0
Wii U,1,0,0,1,435,1,12,19,0,0
Wii U,1,0,0,1,435,1,12,20,0,0
Wii U,1,0,0,1,435,1,12,21,0,1
Wii U,1,0,0,1,435,1,12,22,0,0
Wii U,1,0,0,1,435,1,12,23,0,0
Wii U,1,0,0,1,435,1,12,24,0,0
Wii U,1,0,0,1,435,1,12,25,0,1
Wii U,1,0,0,1,435,1,12,26,0,0
Wii U,1,0,0,1,435,1,12,27,0,0
Wii U,1,0,0,1,435,1,12,28,0,0
Wii U,1,0,0,1,435,1,12,29,0,1
Wii U,1,0,0,1,435,1,12,30,0,0
Wii U,1,0,0,1,435,1,12,31,0,0
Wii U,1,0,0,1,435,1,12,32,0,0
Wii U,1,0,0,1,435,1,12,33,0,1
Wii U,1,0,0,1,435,1,12,34,0,0
Wii U,1,0,0,1,435,1,12,35,0,0
Wii U,1,0,0,1,435,1,12,36,0,0
Wii U,1,0,0,1,435,1,12,37,0,1
Wii U,1,0,0,1,435,1,12,38,0,0
Wii U,1,0,0,1,435,1,12,39,0,0
3DS,0,1,0,1,375,6,13,1,3.61,0
3DS,0,1,0,1,375,6,13,2,0.71,0
3DS,0,1,0,1,375,6,13,3,2.36,0
3DS,0,1,0,1,375,6,13,4,8.35,1
3DS,0,1,0,1,375,6,13,5,2.1,0
3DS,0,1,0,1,375,6,13,6,1.87,0
3DS,0,1,0,1,375,6,13,7,3.19,0
3DS,0,1,0,1,375,6,13,8,7.65,1
3DS,0,1,0,1,375,6,13,9,1.25,0
3DS,0,1,0,1,375,6,13,10,1.4,0
3DS,0,1,0,1,375,6,13,11,2.49,0
3DS,0,1,0,1,375,6,13,12,7.76,1
3DS,0,1,0,1,375,6,13,13,0.59,0
3DS,0,1,0,1,375,6,13,14,0.82,0
3DS,0,1,0,1,375,6,13,15,1.27,0
3DS,0,1,0,1,375,6,13,16,4.99,1
3DS,0,1,0,1,375,6,13,17,1.65,0
3DS,0,1,0,1,375,6,13,18,1.01,0
3DS,0,1,0,1,375,6,13,19,1.27,0
3DS,0,1,0,1,375,6,13,20,3.6,1
3DS,0,1,0,1,375,6,13,21,0.91,0
3DS,0,1,0,1,375,6,13,22,0.94,0
3DS,0,1,0,1,375,6,13,23,1.77,0
3DS,0,1,0,1,375,6,13,24,3.74,1
3DS,0,1,0,1,375,6,13,25,0.82,0
3DS,0,1,0,1,375,6,13,26,0.95,0
3DS,0,1,0,1,375,6,13,27,1.91,0
3DS,0,1,0,1,375,6,13,28,3,1
3DS,0,1,0,1,375,6,13,29,0.54,0
3DS,0,1,0,1,375,6,13,30,0.36,0
3DS,0,1,0,1,375,6,13,31,0.64,0
3DS,0,1,0,1,375,6,13,32,1.31,1
3DS,0,1,0,1,375,6,13,33,0.24,0
3DS,0,1,0,1,375,6,13,34,0.2,0
3DS,0,1,0,1,375,6,13,35,0.17,0
3DS,0,1,0,1,375,6,13,36,0.25,1
3DS,0,1,0,1,375,6,13,37,0.07,0
3DS,0,1,0,1,375,6,13,38,0,0
3DS,0,1,0,1,375,6,13,39,0,0
Wii,1,0,0,1,415,3,16,1,3.19,1
Wii,1,0,0,1,415,3,16,2,2.65,0
Wii,1,0,0,1,415,3,16,3,3.43,0
Wii,1,0,0,1,415,3,16,4,3.9,0
Wii,1,0,0,1,415,3,16,5,6.96,1
Wii,1,0,0,1,415,3,16,6,4.32,0
Wii,1,0,0,1,415,3,16,7,5.17,0
Wii,1,0,0,1,415,3,16,8,4.93,0
Wii,1,0,0,1,415,3,16,9,10.41,1
Wii,1,0,0,1,415,3,16,10,5.43,0
Wii,1,0,0,1,415,3,16,11,2.23,0
Wii,1,0,0,1,415,3,16,12,3.52,0
Wii,1,0,0,1,415,3,16,13,11.31,1
Wii,1,0,0,1,415,3,16,14,3.48,0
Wii,1,0,0,1,415,3,16,15,3.04,0
Wii,1,0,0,1,415,3,16,16,1.93,0
Wii,1,0,0,1,415,3,16,17,8.74,1
Wii,1,0,0,1,415,3,16,18,1.37,0
Wii,1,0,0,1,415,3,16,19,1.56,0
Wii,1,0,0,1,415,3,16,20,1.79,0
Wii,1,0,0,1,415,3,16,21,5.61,1
Wii,1,0,0,1,415,3,16,22,0.88,0
Wii,1,0,0,1,415,3,16,23,0.71,0
Wii,1,0,0,1,415,3,16,24,0.61,0
Wii,1,0,0,1,415,3,16,25,2.2,1
Wii,1,0,0,1,415,3,16,26,0.46,0
Wii,1,0,0,1,415,3,16,27,0.21,0
Wii,1,0,0,1,415,3,16,28,0.26,0
Wii,1,0,0,1,415,3,16,29,0.6,1
Wii,1,0,0,1,415,3,16,30,0.15,0
Wii,1,0,0,1,415,3,16,31,0.09,0
Wii,1,0,0,1,415,3,16,32,0.08,0
Wii,1,0,0,1,415,3,16,33,0.21,1
Wii,1,0,0,1,415,3,16,34,0.08,0
Wii,1,0,0,1,415,3,16,35,0.04,0
Wii,1,0,0,1,415,3,16,36,0.03,0
Wii,1,0,0,1,415,3,16,37,0,1
Wii,1,0,0,1,415,3,16,38,0,0
Wii,1,0,0,1,415,3,16,39,0,0
DS,0,1,0,1,260,4,15,1,2.84,1
DS,0,1,0,1,260,4,15,2,2.43,0
DS,0,1,0,1,260,4,15,3,1.38,0
DS,0,1,0,1,260,4,15,4,2.18,0
DS,0,1,0,1,260,4,15,5,5.6,1
DS,0,1,0,1,260,4,15,6,2.3,0
DS,0,1,0,1,260,4,15,7,4.54,0
DS,0,1,0,1,260,4,15,8,5.55,0
DS,0,1,0,1,260,4,15,9,8.79,1
DS,0,1,0,1,260,4,15,10,4.68,0
DS,0,1,0,1,260,4,15,11,6.98,0
DS,0,1,0,1,260,4,15,12,6.37,0
DS,0,1,0,1,260,4,15,13,11.15,1
DS,0,1,0,1,260,4,15,14,5.81,0
DS,0,1,0,1,260,4,15,15,6.94,0
DS,0,1,0,1,260,4,15,16,6.79,0
DS,0,1,0,1,260,4,15,17,11.89,1
DS,0,1,0,1,260,4,15,18,5.56,0
DS,0,1,0,1,260,4,15,19,5.97,0
