Date,Sales (Millions),Quarterly Sales
03/2017,2.74,2.74
06/2017,4.7,1.96
09/2017,7.63,2.93
12/2017,12.13,4.5
03/2018,17.79,5.66
06/2018,19.67,1.88
09/2018,22.86,3.19
12/2018,32.27,9.41
03/2019,34.74,2.47
06/2019,36.87,2.13
09/2019,41.67,4.8
12/2019,52.48,10.81
03/2020,55.77,3.29
06/2020,61.44,5.67
09/2020,68.3,6.86
12/2020,79.87,11.57
03/2021,84.59,4.72
06/2021,89.04,4.45
09/2021,92.87,3.83
12/2021,103.54,10.67
03/2022,107.65,4.11
06/2022,111.08,3.43
09/2022,114.33,3.25
12/2022,122.55,8.22
03/2023,125.62,3.07
06/2023,129.53,3.91
09/2023,132.46,2.93
12/2023,139.36,6.9
03/2024,141.32,1.96
06/2024,143.42,2.1
09/2024,146.05,2.63
12/2024,150.87,4.82
03/2025,152.12,1.25
06/2025,153.1,0.98
09/2025,154.01,0.91
12/2025,155.37,1.36
03/2026,155.93,0.56
06/2026,156.59,0.66
