console,game,rank,publisher,critic_score,units_sold,release_date
GB,Tetris,1,Nintendo,,35000000.0,1989-07-31
GB,Pokémon Red / Green / Blue Version,2,Nintendo,9.4,31380000.0,1998-09-30
GB,Pokémon Gold / Silver Version,3,Nintendo,9.2,23100000.0,2000-10-14
GB,Super Mario Land,4,Nintendo,,18140000.0,1989-08-01
GB,Pokémon Yellow: Special Pikachu Edition,5,Nintendo,8.7,14640000.0,1999-10-19
GB,Super Mario Land 2: 6 Golden Coins,6,Nintendo,9.0,11180000.0,1992-11-02
GB,Dr. Mario,7,Nintendo,,5340000.0,1990-12-01
GB,Super Mario Land 3: Wario Land,8,Nintendo,7.9,5190000.0,1994-02-09
GB,Kirby's Dream Land,9,Nintendo,,5130000.0,1992-08-01
GB,Super Mario Bros. Deluxe,10,Nintendo,9.7,5070000.0,1999-04-30
GB,Donkey Kong Land,11,Nintendo,,3910000.0,1995-07-26
GB,The Legend of Zelda: Link's Awakening,12,Nintendo,,3830000.0,1993-08-01
GB,Pokémon Trading Card Game,13,Nintendo,8.3,3720000.0,2000-04-10
GB,F-1 Race,14,Nintendo,,3410000.0,1991-02-01
GB,Yoshi,15,Nintendo,,3120000.0,1992-07-01
GB,Donkey Kong,16,Nintendo,,3070000.0,1994-06-01
GB,Kirby's Dream Land 2,17,Nintendo,,2360000.0,1995-05-01
GB,Dragon Quest Monsters,18,Eidos Interactive,,2350000.0,1999-12-31
GB,Donkey Kong Land 2,19,Nintendo,,2350000.0,1996-09-01
GB,Wario Land 3,20,Nintendo,,2200000.0,2000-05-01
GB,Kirby's Pinball Land,21,Nintendo,,2190000.0,1993-11-28
GB,Yu-Gi-Oh: Duel Monsters 4,22,Konami,,2180000.0,2000-12-07
GB,Golf,23,Nintendo,,2120000.0,1990-02-01
GB,Tennis,24,Nintendo,,1990000.0,1989-08-01
GB,Alleyway,25,Nintendo,,1940000.0,1989-08-01
GB,Harry Potter and the Sorcerer's Stone,26,Electronic Arts,,,2001-11-21
GB,Metroid II: Return of Samus,27,Nintendo,7.3,1720000.0,1991-08-26
GB,Yu-Gi-Oh! Duel Monsters,28,Konami,,1610000.0,1998-12-16
GB,Baseball,29,Nintendo,,1610000.0,1989-08-01
GB,Dragon Quest Monsters 2: Cobi's Journey,30,Enix,,1600000.0,2001-09-15
GB,Yoshi's Cookie,31,Nintendo,,1530000.0,1993-01-01
GB,Wario Land II,32,Nintendo,,1480000.0,1998-03-02
GB,Game de Hakken!! Tamagotchi 2,33,Bandai,,,1997-10-17
GB,Tamagotchi,34,Bandai,,,1997-06-26
GB,Disney's DuckTales,35,Capcom,,1430000.0,1990-11-01
GB,The Final Fantasy Legend,36,Square,6.0,1370000.0,1990-09-01
GB,Tony Hawk's Pro Skater,37,Activision,7.1,,2000-02-29
GB,Yakuman,38,Nintendo,,1280000.0,1989-04-21
GB,Tetris 2,39,Nintendo,,1240000.0,1993-01-01
GB,Kirby Tilt 'n' Tumble,40,Nintendo,,1230000.0,2001-04-11
GB,Game & Watch Gallery 3,41,Nintendo,,1220000.0,1999-04-16
GB,Game & Watch Gallery 2,42,Nintendo,,1220000.0,1998-06-15
GB,SolarStriker,43,Nintendo,,1200000.0,1990-01-01
