Year,Console,Region,Sales
2000,GB,Japan,4180000
2000,GB,United States,8590000
2000,GB,Other,4680000
2000,GB,Total,17450000
2001,GB,Japan,3370000
2001,GB,United States,7740000
2001,GB,Other,7750000
2001,GB,Total,18860000
2002,GB,Japan,910000
2002,GB,United States,1460000
2002,GB,Other,2320000
2002,GB,Total,4700000
2003,GB,Japan,50000
2003,GB,United States,0
2003,GB,Other,230000
2003,GB,Total,270000
2001,GBA,Japan,1060000
2001,GBA,United States,0
2001,GBA,Other,10000
2001,GBA,Total,1070000
2002,GBA,Japan,4920000
2002,GBA,United States,7570000
2002,GBA,Other,4600000
2002,GBA,Total,17090000
2003,GBA,Japan,4080000
2003,GBA,United States,7800000
2003,GBA,Other,3770000
2003,GBA,Total,15650000
2004,GBA,Japan,3150000
2004,GBA,United States,9450000
2004,GBA,Other,5000000
2004,GBA,Total,17590000
2005,GBA,Japan,2340000
2005,GBA,United States,8560000
2005,GBA,Other,4490000
2005,GBA,Total,15400000
2006,GBA,Japan,1000000
2006,GBA,United States,4720000
2006,GBA,Other,2610000
2006,GBA,Total,8330000
2007,GBA,Japan,110000
2007,GBA,United States,3000000
2007,GBA,Other,1220000
2007,GBA,Total,4340000
2008,GBA,Japan,220000
2008,GBA,United States,540000
2008,GBA,Other,820000
2008,GBA,Total,1590000
2009,GBA,Japan,80000
2009,GBA,United States,0
2009,GBA,Other,340000
2009,GBA,Total,420000
2010,GBA,Japan,0
2010,GBA,United States,0
2010,GBA,Other,40000
2010,GBA,Total,40000
2005,DS,Japan,2120000
2005,DS,United States,2190000
2005,DS,Other,950000
2005,DS,Total,5270000
2006,DS,Japan,4780000
2006,DS,United States,2920000
2006,DS,Other,3760000
2006,DS,Total,11460000
2007,DS,Japan,9120000
2007,DS,United States,6630000
2007,DS,Other,7810000
2007,DS,Total,23560000
2008,DS,Japan,6360000
2008,DS,United States,10650000
2008,DS,Other,13300000
2008,DS,Total,30310000
2009,DS,Japan,4010000
2009,DS,United States,12070000
2009,DS,Other,15110000
2009,DS,Total,31180000
2010,DS,Japan,4010000
2010,DS,United States,12290000
2010,DS,Other,10810000
2010,DS,Total,27110000
2011,DS,Japan,2350000
2011,DS,United States,8390000
2011,DS,Other,6780000
2011,DS,Total,17520000
2012,DS,Japan,230000
2012,DS,United States,2620000
2012,DS,Other,2250000
2012,DS,Total,5100000
2013,DS,Japan,10000
2013,DS,United States,2110000
2013,DS,Other,230000
2013,DS,Total,2350000
2014,DS,Japan,0
2014,DS,United States,70000
2014,DS,Other,60000
2014,DS,Total,130000
2015,DS,Japan,0
2015,DS,United States,0
2015,DS,Other,20000
2015,DS,Total,20000
2016,DS,Japan,0
2016,DS,United States,0
2016,DS,Other,10000
2016,DS,Total,10000
2011,3DS,Japan,1060000
2011,3DS,United States,1320000
2011,3DS,Other,1230000
2011,3DS,Total,3610000
2012,3DS,Japan,4790000
2012,3DS,United States,4670000
2012,3DS,Other,4060000
2012,3DS,Total,13530000
2013,3DS,Japan,5690000
2013,3DS,United States,4270000
2013,3DS,Other,4000000
2013,3DS,Total,13950000
2014,3DS,Japan,4350000
2014,3DS,United States,4330000
2014,3DS,Other,3560000
2014,3DS,Total,12240000
2015,3DS,Japan,3070000
2015,3DS,United States,2930000
2015,3DS,Other,2740000
2015,3DS,Total,8730000
2016,3DS,Japan,2360000
2016,3DS,United States,2250000
2016,3DS,Other,2180000
2016,3DS,Total,6790000
2017,3DS,Japan,1990000
2017,3DS,United States,2550000
2017,3DS,Other,2730000
2017,3DS,Total,7270000
2018,3DS,Japan,1390000
2018,3DS,United States,2860000
2018,3DS,Other,2160000
2018,3DS,Total,6400000
2019,3DS,Japan,480000
2019,3DS,United States,1280000
2019,3DS,Other,800000
2019,3DS,Total,2550000
2020,3DS,Japan,90000
2020,3DS,United States,280000
2020,3DS,Other,320000
2020,3DS,Total,690000
2021,3DS,Japan,0
2021,3DS,United States,170000
2021,3DS,Other,0
2021,3DS,Total,170000
2017,Switch,Japan,600000
2017,Switch,United States,1200000
2017,Switch,Europe,760000
2017,Switch,Other,180000
2017,Switch,Total,2740000
2018,Switch,Japan,3780000
2018,Switch,United States,5940000
2018,Switch,Europe,3790000
2018,Switch,Other,1540000
2018,Switch,Total,15050000
2019,Switch,Japan,3850000
2019,Switch,United States,6880000
2019,Switch,Europe,4550000
2019,Switch,Other,1690000
2019,Switch,Total,16950000
2020,Switch,Japan,5210000
2020,Switch,United States,8110000
2020,Switch,Europe,5340000
2020,Switch,Other,2370000
2020,Switch,Total,21030000
2021,Switch,Japan,6600000
2021,Switch,United States,11150000
2021,Switch,Europe,7150000
2021,Switch,Other,3930000
2021,Switch,Total,28830000
2022,Switch,Japan,5190000
2022,Switch,United States,8760000
2022,Switch,Europe,6020000
2022,Switch,Other,3090000
2022,Switch,Total,23060000
2023,Switch,Japan,4370000
2023,Switch,United States,6970000
2023,Switch,Europe,4980000
2023,Switch,Other,1650000
2023,Switch,Total,17970000
2024,Switch,Japan,4410000
2024,Switch,United States,5520000
2024,Switch,Europe,3900000
2024,Switch,Other,1860000
2024,Switch,Total,15700000
2025,Switch,Japan,3190000
2025,Switch,United States,3790000
2025,Switch,Europe,2710000
2025,Switch,Other,1110000
2025,Switch,Total,10800000
2026,Switch,Japan,1140000
2026,Switch,United States,1300000
2026,Switch,Europe,830000
2026,Switch,Other,530000
2026,Switch,Total,3800000
2026,Switch 2,Japan,5660000
2026,Switch 2,United States,6730000
2026,Switch 2,Europe,4400000
2026,Switch 2,Other,3060000
2026,Switch 2,Total,19860000
