Pos,Game,Game.1,Console,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update,Unnamed: 11_level_2,Console_Scraped
1,Tetris,Tetris,,Nintendo,,,,35.00m,31st Jul 89,,,GB
2,Pokémon Red / Green / Blue Version,Pokémon Red / Green / Blue Version,,Nintendo,,9.4,,31.38m,30th Sep 98,,,GB
3,Pokémon Gold / Silver Version,Pokémon Gold / Silver Version,,Nintendo,,9.2,,23.10m,14th Oct 00,,,GB
4,Super Mario Land,Super Mario Land,,Nintendo,,,,18.14m,01st Aug 89,,,GB
5,Pokémon Yellow: Special Pikachu Edition,Pokémon Yellow: Special Pikachu Edition,,Nintendo,,8.7,,14.64m,19th Oct 99,,,GB
6,Super Mario Land 2: 6 Golden Coins,Super Mario Land 2: 6 Golden Coins,,Nintendo,,9.0,,11.18m,02nd Nov 92,,,GB
7,Dr. Mario,Dr. Mario,,Nintendo,,,,5.34m,01st Dec 90,,,GB
8,Super Mario Land 3: Wario Land,Super Mario Land 3: Wario Land,,Nintendo,,7.9,,5.19m,09th Feb 94,,,GB
9,Kirby's Dream Land,Kirby's Dream Land,,Nintendo,,,,5.13m,01st Aug 92,,,GB
10,Super Mario Bros. Deluxe,Super Mario Bros. Deluxe,,Nintendo,,9.7,,5.07m,30th Apr 99,,,GB
11,Donkey Kong Land,Donkey Kong Land,,Nintendo,,,,3.91m,26th Jul 95,,,GB
12,The Legend of Zelda: Link's Awakening,The Legend of Zelda: Link's Awakening,,Nintendo,,,,3.83m,01st Aug 93,,,GB
13,Pokémon Trading Card Game,Pokémon Trading Card Game,,Nintendo,,8.3,,3.72m,10th Apr 00,,,GB
14,F-1 Race,F-1 Race,,Nintendo,,,,3.41m,01st Feb 91,,,GB
15,Yoshi,Yoshi,,Nintendo,,,,3.12m,01st Jul 92,,,GB
16,Donkey Kong,Donkey Kong,,Nintendo,,,,3.07m,01st Jun 94,,,GB
17,Kirby's Dream Land 2,Kirby's Dream Land 2,,Nintendo,,,,2.36m,01st May 95,,,GB
18,Dragon Quest Monsters,Dragon Quest Monsters,,Eidos Interactive,,,,2.35m,31st Dec 99,27th Mar 18,,GB
19,Donkey Kong Land 2,Donkey Kong Land 2,,Nintendo,,,,2.35m,01st Sep 96,,,GB
20,Wario Land 3,Wario Land 3,,Nintendo,,,,2.20m,01st May 00,,,GB
21,Kirby's Pinball Land,Kirby's Pinball Land,,Nintendo,,,,2.19m,28th Nov 93,,,GB
22,Yu-Gi-Oh: Duel Monsters 4,Yu-Gi-Oh: Duel Monsters 4,,Konami,,,,2.18m,07th Dec 00,,,GB
23,Golf,Golf,,Nintendo,,,,2.12m,01st Feb 90,,,GB
24,Tennis,Tennis,,Nintendo,,,,1.99m,01st Aug 89,,,GB
25,Alleyway,Alleyway,,Nintendo,,,,1.94m,01st Aug 89,,,GB
26,Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone,,Electronic Arts,,,,,21st Nov 01,,,GB
27,Metroid II: Return of Samus,Metroid II: Return of Samus,,Nintendo,,7.3,,1.72m,26th Aug 91,,,GB
28,Yu-Gi-Oh! Duel Monsters,Yu-Gi-Oh! Duel Monsters,,Konami,,,,1.61m,16th Dec 98,,,GB
29,Baseball,Baseball,,Nintendo,,,,1.61m,01st Aug 89,,,GB
30,Dragon Quest Monsters 2: Cobi's Journey,Dragon Quest Monsters 2: Cobi's Journey,,Enix,,,,1.60m,15th Sep 01,06th May 18,,GB
31,Yoshi's Cookie,Yoshi's Cookie,,Nintendo,,,,1.53m,01st Jan 93,,,GB
32,Wario Land II,Wario Land II,,Nintendo,,,,1.48m,02nd Mar 98,,,GB
33,Game de Hakken!! Tamagotchi 2,Game de Hakken!! Tamagotchi 2,,Bandai,,,,,17th Oct 97,,,GB
34,Tamagotchi,Tamagotchi,,Bandai,,,,,26th Jun 97,,,GB
35,Disney's DuckTales,Disney's DuckTales,,Capcom,,,,1.43m,01st Nov 90,,,GB
36,The Final Fantasy Legend,The Final Fantasy Legend,,Square,,6.0,,1.37m,01st Sep 90,,,GB
37,Tony Hawk's Pro Skater,Tony Hawk's Pro Skater,,Activision,,7.1,,,29th Feb 00,,,GB
38,Yakuman,Yakuman,,Nintendo,,,,1.28m,21st Apr 89,,,GB
39,Tetris 2,Tetris 2,,Nintendo,,,,1.24m,01st Jan 93,08th Jan 19,,GB
40,Kirby Tilt 'n' Tumble,Kirby Tilt 'n' Tumble,,Nintendo,,,,1.23m,11th Apr 01,,,GB
41,Game & Watch Gallery 3,Game & Watch Gallery 3,,Nintendo,,,,1.22m,16th Apr 99,,,GB
42,Game & Watch Gallery 2,Game & Watch Gallery 2,,Nintendo,,,,1.22m,15th Jun 98,,,GB
43,SolarStriker,SolarStriker,,Nintendo,,,,1.20m,01st Jan 90,,,GB
44,Mario Tennis,Mario Tennis,,Nintendo,,,,1.18m,16th Jan 01,,,GB
45,Qix,Qix,,Nintendo,,,,1.15m,01st May 90,,,GB
46,Super R.C. Pro-Am,Super R.C. Pro-Am,,Nintendo,,,,1.14m,01st Oct 91,,,GB
47,Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,,Konami,,,,1.10m,08th Jul 99,,,GB
48,Donkey Kong Land III,Donkey Kong Land III,,Nintendo,,,,1.03m,01st Sep 97,,,GB
49,Mega Man II,Mega Man II,,Capcom,,,,1.00m,29th Jan 92,,,GB
50,Mega Man: Dr. Wily's Revenge,Mega Man: Dr. Wily's Revenge,,Capcom,,,,1.00m,01st Dec 91,,,GB
51,Game & Watch Gallery,Game & Watch Gallery,,Nintendo,,,,1.00m,01st May 97,,,GB
52,Pokémon Card GB2: GRdan Sanjou,Pokémon Card GB2: GRdan Sanjou,,Nintendo,,,,,28th Mar 01,,,GB
