Console,Region,Total Sales
GB,Japan,157060000
GB,United States,190610000
GB,Other,153440000
GB,Total,501110000
GBA,Japan,27540000
GBA,United States,138480000
GBA,Other,42560000
GBA,Total,208580000
DS,Japan,213840000
DS,United States,399200000
DS,Other,335720000
DS,Total,948770000
3DS,Japan,139640000
3DS,United States,134420000
3DS,Other,118240000
3DS,Total,392300000
Switch,Japan,302010000
Switch,United States,662190000
Switch,Europe,443870000
Switch,Other,120070000
Switch,Total,1528140000
Switch 2,Japan,13170000
Switch 2,United States,17480000
Switch 2,Europe,12370000
Switch 2,Other,5700000
Switch 2,Total,48710000
